Product_ID,SKU,Product_Name,Category,Subcategory,Unit,Unit_Cost,Standard_Price,Launch_Date,Discontinuation_Date
PROD00001,XAJI0Y6DPB,Gamma Apex Gadget,Food,A,pcs,131.74,198.31,2022-11-18,
PROD00002,HSAHXTHV3A,Ultra Omega Device,Beauty,E,pcs,141.88,339.56,2023-04-13,
PROD00003,3ZMF8MDD4V,Alpha Fusion Gadget,Sport,D,pcs,160.18,187.85,2022-03-16,
PROD00004,30T9NT3W5U,Apex Apex Item,Food,D,pcs,178.55,224.0,2022-01-04,
PROD00005,ZBIKCIDKWN,Fusion Prime Widget,Home,D,pcs,70.91,246.55,2023-10-08,
PROD00006,NHJ7XVG0FN,Nano Apex Item,Sport,D,pcs,78.24,164.54,2022-04-28,
PROD00007,9XUY41IBLJ,Quantum Fusion Device,Sport,D,pcs,23.33,223.37,2023-08-29,
PROD00008,H75LXO6QJI,Eco Ultra Item,Food,C,pcs,117.76,208.67,2023-05-19,
PROD00009,UJV6OH9SDB,Gamma Omega Item,Apparel,B,pcs,12.01,316.39,2023-07-28,
PROD00010,DW2PCN9T84,Gamma Quantum Item,Home,D,pcs,95.79,25.45,2023-03-17,
PROD00011,AZYTJXEPQ8,Delta Vertex Gadget,Food,A,pcs,110.82,105.53,2022-07-13,
PROD00012,5JSG65KXVF,Omega Vertex Gadget,Home,A,pcs,60.88,333.14,2023-12-16,
PROD00013,1T2TALA753,Quantum Prime Widget,Home,A,pcs,120.21,312.69,2023-01-27,
PROD00014,LC58DRC11E,Fusion Ultra Item,Sport,A,pcs,10.95,164.92,2022-01-26,
PROD00015,RTJ5PHT0HL,Fusion Fusion Gadget,Beauty,C,pcs,12.28,220.85,2023-03-11,
PROD00016,9XPSEIMVIH,Ultra Delta Device,Home,A,pcs,165.41,104.31,2022-06-22,
PROD00017,CWI64CIYHE,Delta Nano Widget,Industrial,D,pcs,75.24,73.96,2022-10-27,
PROD00018,7UR23GDPPQ,Pioneer Prime Device,Sport,E,pcs,29.78,167.66,2023-10-07,
PROD00019,0Y9DOM5IGQ,Beta Fusion Gadget,Apparel,A,pcs,106.84,130.14,2022-11-22,
PROD00020,PKI7P5TB94,Alpha Omega Item,Beauty,C,pcs,155.15,208.44,2023-02-14,
PROD00021,874FRHOCN9,Apex Nova Widget,Industrial,C,pcs,47.09,36.43,2022-04-28,
PROD00022,J2QP89UZFK,Vertex Beta Gadget,Industrial,A,pcs,126.46,341.29,2023-12-25,
PROD00023,8UT0CVS4F8,Quantum Quantum Gadget,Apparel,E,pcs,21.64,345.31,2022-08-13,
PROD00024,CGVYIE6IVW,Prime Delta Device,Beauty,A,pcs,15.08,247.37,2023-06-16,
PROD00025,PVS7HZIOYK,Omega Pioneer Widget,Sport,C,pcs,108.61,192.27,2022-04-23,
PROD00026,L1CQ99CHJ7,Delta Pioneer Gadget,Electronics,B,pcs,110.42,115.24,2022-05-20,
PROD00027,55NF4ZW9XA,Eco Beta Item,Beauty,D,pcs,129.3,286.69,2023-07-13,
PROD00028,3KX7EEDTJV,Pioneer Delta Gadget,Apparel,C,pcs,146.59,242.81,2022-01-01,
PROD00029,ZHWJR64DPJ,Ultra Pioneer Gadget,Industrial,A,pcs,195.29,65.29,2022-03-31,
PROD00030,A1WJ0TPAC5,Fusion Nano Device,Sport,D,pcs,105.68,319.72,2023-10-16,
PROD00031,6T4UFEL624,Ultra Prime Device,Beauty,A,pcs,67.98,289.66,2022-11-16,
PROD00032,6HID25OWF7,Omega Omega Device,Electronics,A,pcs,160.06,332.93,2023-07-04,
PROD00033,5935A0L725,Fusion Pioneer Item,Electronics,B,pcs,57.81,256.74,2022-05-19,
PROD00034,3J2D54I3QK,Prime Beta Item,Home,D,pcs,90.6,218.56,2023-05-26,
PROD00035,2IAGL58KXO,Quantum Vertex Device,Home,D,pcs,20.3,152.2,2022-09-16,
PROD00036,9T7E8G8JDP,Pioneer Delta Device,Food,B,pcs,9.94,327.13,2023-11-04,
PROD00037,0LVSNUJZA7,Nano Ultra Widget,Apparel,C,pcs,192.72,304.46,2023-11-21,
PROD00038,TZ0YNCXLL4,Nova Vertex Gadget,Beauty,A,pcs,168.02,25.37,2022-01-10,
PROD00039,ZKLOOKEP7Y,Eco Gamma Widget,Beauty,E,pcs,140.71,18.96,2022-09-18,
PROD00040,6WKTAKPUXQ,Omega Fusion Item,Food,A,pcs,84.75,138.0,2023-10-12,
PROD00041,PHR62GDSWM,Omega Gamma Gadget,Industrial,A,pcs,38.79,285.59,2022-06-21,
PROD00042,31YIHAIR4C,Nano Delta Item,Industrial,C,pcs,35.51,345.67,2022-01-13,
PROD00043,OWGZRIXA11,Nova Vertex Gadget,Food,A,pcs,53.8,61.14,2022-06-17,
PROD00044,DPG8SBI4Q2,Prime Fusion Device,Industrial,B,pcs,112.1,212.0,2023-10-04,
PROD00045,Y9V86WZS3T,Omega Quantum Item,Home,B,pcs,144.35,139.5,2023-08-19,
PROD00046,60RJIW1SWJ,Eco Apex Item,Beauty,D,pcs,133.74,339.77,2022-11-17,
PROD00047,CKJLTEIYZC,Prime Gamma Device,Food,E,pcs,59.59,296.32,2022-11-15,
PROD00048,OTOHP6VZ41,Gamma Gamma Item,Beauty,A,pcs,191.2,295.03,2023-09-05,
PROD00049,NAM148P0TV,Gamma Pioneer Widget,Electronics,A,pcs,148.89,169.36,2022-11-25,
PROD00050,HHPBMYOFQE,Fusion Alpha Widget,Home,C,pcs,113.1,151.04,2023-07-04,
PROD00051,WAOUAXEQBN,Vertex Apex Widget,Sport,B,pcs,124.29,102.96,2023-02-23,
PROD00052,HL1N13JCAT,Quantum Alpha Item,Home,E,pcs,86.82,29.17,2023-08-29,
PROD00053,9MX2X18HAF,Gamma Vertex Gadget,Food,D,pcs,53.31,304.01,2022-04-05,
PROD00054,EYUHZ1GV0E,Beta Eco Gadget,Sport,B,pcs,74.41,286.39,2023-08-04,
PROD00055,38DALY8OZC,Alpha Delta Item,Electronics,D,pcs,152.78,349.9,2022-11-14,
PROD00056,YWD14VE92M,Nano Alpha Item,Food,C,pcs,7.81,348.86,2022-08-24,
PROD00057,PNSM43D8W3,Apex Prime Widget,Apparel,C,pcs,27.63,198.85,2022-11-30,
PROD00058,ZP08J3TRP0,Alpha Fusion Item,Beauty,A,pcs,13.97,271.46,2023-01-11,
PROD00059,J43D5IQVNB,Alpha Alpha Device,Electronics,E,pcs,12.94,331.22,2023-04-04,
PROD00060,4GH2M5ZJA8,Fusion Omega Widget,Beauty,D,pcs,171.81,298.88,2022-05-17,
PROD00061,DZR1YXR2DH,Fusion Vertex Item,Industrial,B,pcs,142.21,94.1,2023-08-11,
PROD00062,YLURTP0LZJ,Quantum Pioneer Gadget,Apparel,C,pcs,97.46,163.19,2023-07-01,
PROD00063,JEGET1GHR0,Beta Pioneer Widget,Apparel,A,pcs,24.08,53.91,2023-05-28,
PROD00064,9SKDGIGATJ,Fusion Gamma Gadget,Electronics,A,pcs,100.87,334.38,2022-10-23,
PROD00065,9TZE5R5UQP,Delta Nova Device,Apparel,D,pcs,97.33,216.1,2022-11-16,
PROD00066,GB7R3OCWBF,Vertex Nano Device,Sport,C,pcs,38.77,87.74,2023-07-26,
PROD00067,UK9E1V2ISQ,Quantum Ultra Widget,Apparel,E,pcs,89.6,238.38,2022-12-15,
PROD00068,P49KWV08HH,Nano Ultra Item,Beauty,C,pcs,82.71,220.16,2022-08-17,
PROD00069,XFGCAQVKIZ,Nova Delta Gadget,Beauty,D,pcs,125.09,131.78,2022-09-27,
PROD00070,ZQY72WX7PT,Omega Apex Widget,Food,D,pcs,128.84,48.61,2022-10-18,
PROD00071,X63CFL0UKE,Apex Vertex Widget,Beauty,C,pcs,13.83,238.33,2023-12-26,
PROD00072,YZ7SRCBPLJ,Beta Ultra Item,Food,D,pcs,78.05,186.9,2022-06-14,
PROD00073,D84U89YJB1,Ultra Fusion Item,Beauty,C,pcs,127.04,272.59,2022-01-05,
PROD00074,QX6GVWRDML,Alpha Apex Widget,Sport,B,pcs,103.11,186.86,2023-01-14,
PROD00075,Y4LYK83TQL,Eco Gamma Widget,Food,C,pcs,172.02,299.74,2022-03-19,
PROD00076,L8OS9XTOGN,Prime Vertex Item,Home,C,pcs,133.45,197.65,2023-02-14,
PROD00077,1W1HT7PZE9,Apex Quantum Device,Industrial,D,pcs,36.77,200.72,2023-07-28,
PROD00078,VIFTTD96QE,Nova Vertex Widget,Electronics,D,pcs,18.76,308.06,2022-05-12,
PROD00079,3RZSJ49ITN,Pioneer Fusion Widget,Beauty,A,pcs,130.27,147.18,2023-08-24,
PROD00080,7S55J2O7S3,Delta Delta Item,Apparel,A,pcs,10.17,55.57,2022-02-11,
PROD00081,KKV9RFTMTT,Omega Alpha Widget,Beauty,B,pcs,119.23,19.79,2022-03-30,
PROD00082,QLGZUI1B0Z,Apex Pioneer Device,Apparel,A,pcs,188.34,266.75,2023-02-06,
PROD00083,3NX39RBSV5,Pioneer Fusion Widget,Industrial,C,pcs,117.22,220.91,2022-10-23,
PROD00084,5PSQ0OXFQ8,Gamma Pioneer Device,Industrial,D,pcs,80.69,249.39,2022-10-22,
PROD00085,MYX444NLZ1,Alpha Delta Gadget,Industrial,A,pcs,130.44,82.41,2023-09-08,
PROD00086,5BCW790PDW,Quantum Vertex Item,Apparel,A,pcs,94.36,56.37,2023-06-10,
PROD00087,5PY6B2KNFT,Pioneer Beta Device,Beauty,B,pcs,111.4,14.95,2023-11-22,
PROD00088,U2GC5WI6FQ,Gamma Nova Gadget,Industrial,B,pcs,188.59,129.2,2023-09-29,
PROD00089,JJA26YFPMV,Nova Vertex Item,Sport,C,pcs,80.29,210.57,2023-02-26,
PROD00090,XPJ4HNRIUU,Apex Pioneer Device,Food,D,pcs,192.43,143.36,2022-01-23,
PROD00091,9K9XJUY0BV,Ultra Quantum Gadget,Apparel,B,pcs,181.54,158.74,2023-07-29,
PROD00092,R6K2VMWWYZ,Quantum Eco Widget,Apparel,A,pcs,43.18,317.41,2022-05-23,
PROD00093,X4W6XLPU0D,Fusion Eco Device,Beauty,D,pcs,18.53,128.41,2023-10-27,
PROD00094,K0GET8T63J,Alpha Beta Item,Apparel,D,pcs,24.65,184.76,2022-05-25,
PROD00095,3R30ME8F84,Delta Vertex Widget,Apparel,A,pcs,8.55,276.44,2022-08-13,
PROD00096,0982N2ATQY,Nano Nova Item,Industrial,B,pcs,23.42,144.82,2023-05-18,
PROD00097,YV37DIA5U6,Quantum Nano Widget,Beauty,A,pcs,138.19,221.51,2023-09-08,
PROD00098,HC36KOF8KR,Apex Omega Item,Industrial,D,pcs,18.88,303.2,2022-04-14,
PROD00099,D5EQY08P0F,Prime Delta Device,Food,E,pcs,67.2,332.84,2022-02-08,
PROD00100,ODRO8BNP84,Fusion Ultra Item,Food,E,pcs,169.75,60.0,2022-07-17,
PROD00101,DYT9MOGE4Q,Gamma Apex Item,Industrial,C,pcs,9.54,325.04,2023-10-08,
PROD00102,XXVA2IEUC1,Beta Quantum Device,Food,A,pcs,163.82,177.32,2023-08-02,
PROD00103,HH5LF6A4FE,Quantum Delta Widget,Beauty,A,pcs,59.96,97.8,2023-01-26,
PROD00104,JGXAA2ILGB,Beta Omega Gadget,Electronics,C,pcs,28.04,166.11,2022-06-28,
PROD00105,0S0R2SDS8B,Ultra Eco Gadget,Industrial,C,pcs,140.86,343.21,2023-07-08,
PROD00106,25SQ8CROYR,Eco Ultra Device,Sport,C,pcs,127.64,177.49,2023-03-24,
PROD00107,6CCVCJWTL9,Nano Beta Widget,Sport,D,pcs,176.11,121.78,2023-05-15,
PROD00108,TQVDZ4X1ZH,Alpha Omega Item,Apparel,A,pcs,148.34,225.36,2022-01-15,
PROD00109,QIMQODPXNF,Nano Quantum Device,Food,D,pcs,161.68,91.65,2023-09-15,
PROD00110,7C3DD03UVU,Beta Gamma Widget,Sport,C,pcs,60.0,35.79,2023-10-31,
PROD00111,LEMX15Z8VM,Gamma Ultra Item,Apparel,A,pcs,39.6,53.82,2022-10-16,
PROD00112,UHXID4N1U3,Fusion Fusion Item,Electronics,D,pcs,151.37,53.54,2023-04-23,
PROD00113,493WXA73JG,Beta Alpha Widget,Beauty,D,pcs,162.33,61.65,2022-08-19,
PROD00114,ZLMA5UOFWB,Nano Fusion Widget,Beauty,C,pcs,198.15,57.2,2023-02-24,
PROD00115,0HPMNZ1UDB,Nova Nova Device,Beauty,A,pcs,85.46,227.9,2022-06-06,
PROD00116,FWYJXRPJ1E,Vertex Ultra Widget,Sport,C,pcs,77.54,71.84,2023-07-04,
PROD00117,PKYRYBOVAK,Omega Ultra Item,Electronics,A,pcs,156.4,127.53,2023-03-17,
PROD00118,HEJLA0GNZS,Quantum Beta Gadget,Sport,E,pcs,71.46,314.91,2022-04-07,
PROD00119,43C5BA75UU,Nova Fusion Gadget,Food,B,pcs,186.5,171.15,2023-02-15,
PROD00120,ZPEAL2W37D,Apex Ultra Gadget,Sport,B,pcs,172.39,236.97,2022-10-16,
PROD00121,4IVSOLMLGS,Gamma Omega Device,Electronics,B,pcs,88.65,68.59,2022-09-11,
PROD00122,ES6M033IFH,Omega Prime Gadget,Electronics,C,pcs,151.42,75.38,2022-07-15,
PROD00123,V1XG1R11Q7,Beta Gamma Item,Food,E,pcs,152.14,23.9,2023-08-21,
PROD00124,UWW5WFCPKJ,Omega Ultra Device,Electronics,A,pcs,25.11,67.44,2023-06-06,
PROD00125,CSLQC3C54W,Prime Quantum Widget,Electronics,D,pcs,181.0,104.72,2023-06-01,
PROD00126,SQT26Q3XLR,Nano Omega Gadget,Beauty,A,pcs,103.52,70.18,2023-09-27,
PROD00127,FCD6MZSGIP,Eco Apex Item,Food,D,pcs,166.16,40.16,2022-04-28,
PROD00128,PSFNKOMV2X,Nova Nova Gadget,Home,A,pcs,67.41,51.02,2022-06-08,
PROD00129,CDYK0X65MU,Prime Beta Gadget,Home,E,pcs,179.63,166.66,2022-08-16,
PROD00130,FM8ZOV7LN2,Omega Alpha Item,Electronics,D,pcs,80.89,80.15,2022-08-04,
PROD00131,3Y30YSXPNN,Nano Vertex Item,Home,C,pcs,7.11,133.85,2023-11-27,
PROD00132,GH8RIEC4D1,Quantum Vertex Device,Home,A,pcs,181.55,181.16,2022-01-15,
PROD00133,45BM1ENF31,Prime Nano Item,Electronics,A,pcs,22.8,244.73,2022-06-06,
PROD00134,3FPOYIPK0Q,Vertex Vertex Gadget,Home,D,pcs,67.27,23.37,2023-10-10,
PROD00135,TL3Q4N89QK,Omega Nano Gadget,Sport,C,pcs,190.26,281.8,2022-09-18,
PROD00136,NS832EJX5T,Prime Nano Gadget,Apparel,C,pcs,190.37,223.49,2022-06-06,
PROD00137,D44K1J6FP8,Ultra Nano Device,Food,E,pcs,116.82,37.8,2022-02-16,
PROD00138,HQMABSI9NB,Eco Eco Item,Apparel,C,pcs,128.21,307.02,2022-11-20,
PROD00139,74X2EK3ZEZ,Nova Quantum Gadget,Electronics,C,pcs,92.45,323.1,2023-11-16,
PROD00140,QACJ4T0SEK,Nano Ultra Device,Beauty,C,pcs,62.18,30.77,2022-05-10,
PROD00141,KBP2QD6VAS,Vertex Quantum Item,Food,B,pcs,69.09,104.14,2023-02-15,
PROD00142,IFPWIOXD9C,Nano Beta Gadget,Electronics,E,pcs,136.14,284.11,2022-04-05,
PROD00143,SS9TOQW9JA,Nova Fusion Gadget,Beauty,A,pcs,151.71,264.41,2023-09-19,
PROD00144,2M0W10LBT3,Apex Quantum Widget,Apparel,D,pcs,159.36,72.74,2022-10-19,
PROD00145,G2QZW3C1QK,Eco Prime Gadget,Electronics,A,pcs,158.98,81.18,2022-10-10,
PROD00146,BHB7S9TJ1G,Prime Quantum Device,Food,E,pcs,22.79,135.96,2022-03-10,
PROD00147,M25LEN606N,Vertex Eco Widget,Food,D,pcs,101.41,174.74,2023-10-22,
PROD00148,9RR7S20CV3,Vertex Vertex Item,Industrial,E,pcs,16.22,220.21,2022-01-11,
PROD00149,TLCXLVPYMB,Apex Prime Gadget,Sport,C,pcs,112.16,135.43,2022-09-11,
PROD00150,5M9J98CWN2,Apex Omega Gadget,Home,D,pcs,91.1,167.26,2023-07-04,
PROD00151,Y8FV2BC2NN,Omega Apex Gadget,Beauty,C,pcs,178.1,264.14,2022-05-14,
PROD00152,UVY8N1UTOX,Eco Ultra Item,Industrial,A,pcs,73.43,22.47,2023-12-13,
PROD00153,IE0RNUJJQ9,Beta Prime Item,Home,A,pcs,27.83,95.83,2022-01-23,
PROD00154,K6RE4Q6QDY,Nova Ultra Item,Home,D,pcs,32.88,252.54,2022-12-12,
PROD00155,4LMCT64Z7W,Fusion Alpha Device,Electronics,D,pcs,153.49,314.37,2022-10-29,
PROD00156,2SEHE2ATN2,Eco Pioneer Widget,Home,E,pcs,125.55,183.97,2022-12-29,
PROD00157,TWDL9ZS13C,Beta Quantum Gadget,Sport,E,pcs,24.72,190.92,2023-01-31,
PROD00158,9XQYM52XG8,Apex Apex Device,Food,C,pcs,21.4,46.44,2022-08-06,
PROD00159,P6BEFFLZM7,Gamma Apex Widget,Industrial,D,pcs,141.69,162.12,2022-05-21,
PROD00160,64JWTEKTSG,Nova Apex Item,Home,A,pcs,19.19,191.09,2023-09-08,
PROD00161,7FXZV4U3BB,Quantum Nano Item,Electronics,E,pcs,165.26,92.44,2022-07-29,
PROD00162,XUX1OXRWK8,Beta Alpha Widget,Sport,E,pcs,142.72,101.54,2023-09-15,
PROD00163,R2YKCCPRHV,Omega Delta Gadget,Apparel,A,pcs,20.86,138.28,2023-09-08,
PROD00164,LZ049ENULQ,Prime Nano Item,Food,E,pcs,21.54,16.82,2023-11-14,
PROD00165,JIDKNWI5FL,Prime Quantum Gadget,Food,C,pcs,197.39,119.51,2023-04-05,
PROD00166,UL1RSRLA8S,Nano Alpha Item,Industrial,D,pcs,77.98,81.89,2022-12-22,
PROD00167,8HMBR5XQT4,Beta Omega Item,Food,A,pcs,77.28,121.35,2022-11-20,
PROD00168,P501NOUHTC,Pioneer Beta Widget,Home,D,pcs,163.5,50.72,2022-05-13,
PROD00169,S1K9YE9O2M,Vertex Eco Gadget,Electronics,E,pcs,189.71,312.78,2022-05-07,
PROD00170,71HSSBELRQ,Nano Omega Device,Food,E,pcs,197.27,211.82,2022-04-16,
PROD00171,VSLWF90KM3,Prime Quantum Gadget,Food,A,pcs,151.91,240.89,2023-08-27,
PROD00172,TZK3NY9V20,Fusion Prime Device,Apparel,C,pcs,78.37,278.32,2023-01-13,
PROD00173,YAR821UZVG,Prime Beta Item,Apparel,B,pcs,21.28,179.47,2022-02-20,
PROD00174,WW4FYB8DAL,Eco Eco Item,Beauty,A,pcs,156.54,39.55,2022-01-29,
PROD00175,FYO1750CEH,Nano Beta Device,Sport,B,pcs,113.89,192.62,2023-04-07,
PROD00176,LXSLG6MM1Z,Alpha Quantum Widget,Home,B,pcs,87.72,209.53,2022-10-23,
PROD00177,XYVGIUI9KK,Alpha Vertex Device,Food,C,pcs,181.74,263.45,2022-10-24,
PROD00178,HZLM72JEYN,Apex Beta Gadget,Food,B,pcs,26.68,156.76,2023-12-27,
PROD00179,9382KKZMPJ,Pioneer Eco Gadget,Electronics,B,pcs,101.06,53.38,2023-02-11,
PROD00180,RHT7ZEWVIY,Fusion Gamma Gadget,Beauty,C,pcs,7.21,106.48,2023-09-05,
PROD00181,TWBOZD1AT7,Nano Fusion Item,Sport,B,pcs,96.39,133.45,2023-02-09,
PROD00182,O75RH8LX6D,Prime Delta Item,Beauty,B,pcs,15.98,229.61,2022-12-12,
PROD00183,UT076G5G79,Apex Gamma Gadget,Industrial,B,pcs,28.17,204.06,2023-09-14,
PROD00184,OR7875AUD9,Apex Apex Item,Sport,A,pcs,27.92,131.07,2023-02-24,
PROD00185,K9TR74QGEF,Ultra Alpha Gadget,Food,A,pcs,131.6,345.42,2022-07-01,
PROD00186,QJG02U1G46,Prime Nova Item,Food,A,pcs,150.48,215.96,2022-01-01,
PROD00187,3SDYGFLIJI,Ultra Alpha Gadget,Sport,C,pcs,118.76,90.66,2023-07-21,
PROD00188,18K0AXYCEL,Delta Omega Widget,Food,E,pcs,192.62,44.61,2023-01-06,
PROD00189,OS6ZLE6KWH,Nova Beta Gadget,Home,B,pcs,78.1,61.97,2023-10-23,
PROD00190,EF0VOTQTXH,Nano Nano Gadget,Sport,B,pcs,60.71,93.63,2023-03-07,
PROD00191,I15CQZCUCT,Prime Beta Device,Beauty,C,pcs,174.38,64.63,2022-11-05,
PROD00192,SUFLSEHUDS,Apex Vertex Item,Sport,B,pcs,48.6,73.43,2022-05-17,
PROD00193,3QSQCQ30O3,Fusion Apex Device,Food,A,pcs,192.83,106.93,2022-07-21,
PROD00194,0UBMC97C7B,Nova Ultra Item,Home,E,pcs,7.37,68.95,2023-03-12,
PROD00195,O119XP9N56,Nova Beta Device,Home,D,pcs,194.13,314.9,2022-11-09,
PROD00196,NYXTXMGTT0,Nano Vertex Item,Industrial,B,pcs,13.42,37.28,2022-04-27,
PROD00197,IAAKYTT3IM,Nova Gamma Device,Beauty,A,pcs,178.77,188.33,2023-10-28,
PROD00198,J70E3P15AH,Pioneer Nova Widget,Apparel,D,pcs,107.9,149.53,2023-07-29,
PROD00199,DBVZB0OIH5,Apex Gamma Device,Apparel,E,pcs,198.63,344.01,2022-09-01,
PROD00200,CSK30LVYLK,Beta Delta Device,Sport,D,pcs,19.39,48.09,2023-06-21,
